,,,,"//==================================
// kernel menus
//==================================",,,,,,,
,,,,"//=====
// character select menu placeholder
//=====",,,,,,,
string,str-0x17AB,,,"        \n
!#      \n","[spacemenu]<$0A>\n
!#        \n",,,,,,
,,,,"//=====
// character names, top row
//=====",,,,,,,
string,str-0x1893,,, ﾞ        ,          ,,,,,,
string,str-0x189E,,,          ,          ,,,,,,
string,str-0x18A9,,,   ﾞ      ,          ,,,,,,
,,,,"//=====
// character names, bottom row
//=====",,,,,,,
string,str-0x18B4,,, ｼﾗｲｱ  $2(, [ziria_1][ziria_2][ziria_3][ziria_4][ziria_5] ($2, [ziria_1][ziria_2][ziria_3][ziria_4][ziria_5] ($2,,,,,
string,str-0x18BF,,, ｵﾛﾁﾏﾙ $2(, [orochi_1][orochi_2][orochi_3][orochi_4][orochi_5][orochi_6]($2, [orochi_1][orochi_2][orochi_3][orochi_4][orochi_5] ($2,,,,,
string,str-0x18CA,,, ﾂﾅﾃ   $2(, [tsunade_1][tsunade_2][tsunade_3][tsunade_4][tsunade_5] ($2, [tsunade_1][tsunade_2][tsunade_3][tsunade_4][tsunade_5] ($2,,,,,
,,,,"//=====
// character name/HP/TP display
//=====",,,,,,,
string,str-0x18D5,,,          ,          ,DUPE: F6,,,,,
string,str-0x18E0,,, ^_ $3    ,,,UNTRANSLATED,,,,
string,str-0x18EB,,, \] $3    ,,,UNTRANSLATED,,,,
string,str-0x18F6,,,\n,,,UNTRANSLATED,,,,
,,,,"//==================================
// orochimaru name patches
//==================================",,,,,,,
,,,,"//=====
// bottom row normal
//=====",,,,,,,
string,rawstr-0xD9E,,,ｵﾛﾁﾏﾙ,[orochi_1][orochi_2][orochi_3][orochi_4][orochi_5][orochi_6],[orochi_1][orochi_2][orochi_3][orochi_4][orochi_5],,,,,
,,,,"//=====
// top row normal
//=====",,,,,,,
string,rawstr-0xDA8,,, , ,,,,,,
,,,,"//=====
// bottom row kuroi kage
//=====",,,,,,,
string,rawstr-0xDA3,,,ｸﾛｲｶｹ,[shadow_1][shadow_2][shadow_3][shadow_4][shadow_5] ,[shadow_1][shadow_2][shadow_3][shadow_4][shadow_5],,,,,
,,,,"//=====
// top row kuroi kage
//=====",,,,,,,
string,rawstr-0xDA9,,,ﾞ, ,,,,,,
,,,,"//==================================
// overworld menus
//==================================",,,,,,,
,,,,"//=====
// ?
//=====",,,,,,,
string,str-0x1E6A,,,            \n,,,UNTRANSLATED,,,,
string,str-0x1F06,,,"        \n
#       \n",,,UNTRANSLATED,,,,
,,,,"//=====
// main menu
//=====",,,,,,,
string,str-0x2712,,,"       ﾞ  \n
!ﾊﾅｽ !ｺｶﾏ \n
 ﾞ ﾞ    ﾞ \n
!ﾄｳｸ !ｿｳﾋ \n
 ﾞ      ﾞ \n
!ｼｭﾂ !ｼﾗﾍﾙ\n
        ﾞ \n
!ﾂﾖｻ !ﾓｰﾄ \n
[end]

// parameters
<$7B><$B7>
<$52><$BD>
<$01><$B8>
<$15><$B9>
<$8D><$B7>
<$81><$B7>
<$43><$B9>
<$84><$BD>","              \n
!Talk  !Kogama\n
\n
!Items !Equip \n
\n
!Jutsu !Check \n
\n
!Status!Mode  \n
[end]

// parameters
<$7B><$B7>
<$52><$BD>
<$01><$B8>
<$15><$B9>
<$8D><$B7>
<$81><$B7>
<$43><$B9>
<$84><$BD>","               \n
!Talk   !Kogama\n
               \n
!Item   !Equip \n
               \n
!Tech   !Check \n
               \n
!Status !Mode  \n",,,,,
,,,,"//=====
// use/give menu
//=====",,,,,,,
string,str-0x27B2,,,"    \n
!ﾂｶｳ\n
    \n
!ﾜﾀｽ\n
[end]

// parameters
<$CB><$B7>
<$D7><$B7>","[spacemenu]<$06>\n
!Use\n
\n
!Give\n
[end]

// parameters
<$CB><$B7>
<$D7><$B7>",,,,,,
,,,,"//=====
// use/give/drop menu
//=====",,,,,,,
string,str-0x2829,,,"    \n
!ﾂｶｳ\n
    \n
!ﾜﾀｽ\n
    \n
!ｽﾃﾙ\n
[end]

// parameters
<$4E><$B8>
<$83><$B8>
<$88><$B8>","     \n
!Use\n
\n
!Give\n
\n
!Drop\n
[end]

// parameters
<$4E><$B8>
<$83><$B8>
<$88><$B8>",,,,,,
,,,,"//=====
// status display: top window
//=====",,,,,,,
string,str-0x2B0E,,,     $3   ,,,UNTRANSLATED,,,,
string,str-0x2B19,,,\n,,DUPE: F16,,,,,
string,str-0x2B1B,,,  ^_ ---  ,,,UNTRANSLATED,,,,
string,str-0x2B26,,,  \] ---  ,,,UNTRANSLATED,,,,
,,,,"//=====
// status display: bottom window
//=====",,,,,,,
string,str-0x2C2E,,,"                      \n
 #      $2(  ","                        \n
 #        ($2",,,,,,
string,str-0x2C53,,,) $5   @,    $5   @,,,,,,
string,str-0x2C5C,,,        , ,,,,,,
