,,,,"//==================================
// ??? altboss 0xABD dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xABD_intro_0,,,[f7]<$75>よせ！俺、おまえと戦いたくないよ！,[f7]<$75>Stop! I don't want to fight you!,,
,,,,"//==================================
// ??? altboss 0xAC0 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAC0_intro_0,,,勝負しようぜ！,Let's do this!,,
,,,,"//=====
// player lose
//=====",,,
string,boss_0xAC0_lose_0,,,"どうってことねえな\n
いつでも相手になってやるぜ\n
待ってるぜ","That was easy.\n
I'll fight you anytime you want.",,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAC0_win_0,,,"うへぇまいったまいった\n
俺の師匠は塚原ト伝様だ\n
おまえもならうといいぜ","Whew! I give up!\n
My master is Tsukahara Bokuden.\n
You should ask him to teach you, too.",,
string,boss_0xAC0_win_2,,,"さきに行って話しといてやる\n
気むずかし屋だがいい先生だ\n
じゃあな・・・","I'll tell him about you.\n
He's hard to please, but he's a great teacher. Well, see ya.",,
,,,,"//==================================
// ??? altboss 0xAC1 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAC1_intro_0,,,"ほほうガマ仙人の育てていたガキかい！\n
どんだけ強くなったか見てやろうぞい！","Ah, you must be that kid raised by the Toad Hermit. Show me how strong you are!",,
,,,,"//=====
// player lose
//=====",,,
string,boss_0xAC1_lose_0,,,"まだ修行が足らんぞい！\n
出なおせ！\n
出なおせ！","You need more training!\n
Try again!",,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAC1_win_0,,,"まいった、まいった\n
これだけ強ければ\n
毛の国でも修行ができるじゃろう","I concede! With your current strength, you should be able to train in Keno as well.",,
string,boss_0xAC1_win_2,,,"行ってこい　小僧！！\n
ほれ　タヌキのワラジを履かせてやろう\n
これがあれば山あるきができるぞい！","Go forth, young one! Here, take these Tanuki Sandals. You should be able to cross the mountain with them!",,
string,boss_0xAC1_win_4,,,"けんど山んなかにゃ\n
怪物がウヨウヨでるで\n
気いつけにゃいかんぞい",There are monsters up there. Be careful.,,
,,,,"//==================================
// ??? altboss 0xAC2 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAC2_intro_0,,,"カッパと戦ったと\n
ほほうムム・・もしや\n
お主ガマ仙人の弟子か","You fought the kappa?\n
I see... You must be the disciple of the Toad Hermit.",,
string,boss_0xAC2_intro_2,,,よし一手指南してやろう,Very well. I'll spar with you.,,
,,,,"//=====
// player lose
//=====",,,
string,boss_0xAC2_lose_0,,,"まだまだ修行が\n
足りないようだのお\n
出直してきなさい",You clearly need more training. Try again.,,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAC2_win_0,,,"なかなかいい手スジじゃ！\n
鹿島新当流一の太刀を\n
さずけるぞ！",Not bad! You have earned the sword of the Kashima Shinto-ryu!,,
,,,,"//==================================
// ??? altboss 0xAC5 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAC5_intro_0,,,"佐竹のヤツラは許せん\n
おまえも佐竹の者か！\n
死ね！！","I'll never forgive the Satake!\n
Hey, you! Are you with the Satake?!\n
Then die!",,
,,,,"//=====
// player win
//=====",,,
string,boss_0xAC5_win_0,,,"ウッ！ワシは火の一族のマツエイじゃ\n
城に奪われた火の紋章を取り返えせず\n
辻斬りをしてウラミをはらしておった","Urgh... I'm Matsuei of the Fire Clan.\n
I was venting my anger for losing the Fire Emblem by attacking passersby.",,
string,boss_0xAC5_win_2,,,"おヌシ、ガマ族の者らしいな\n
ガマもまた、火の一族の血を引く者\n
同じ火の一族のマツエイじゃ","Are you from the Toad clan?\n
Then the blood of the Fire Clan flows in your veins.",,
string,boss_0xAC5_win_4,,,"この紋章さえあれば\n
幻の火の術が使えるという\n
奪え！　火の紋章を奪ってくれい",They say the emblem will let you use fire jutsu. You must take it!,,
,,,,"//==================================
// ??? altboss 0xAC6 dialogue?
//==================================",,,
,,,,"//=====
// intro
//=====",,,
string,boss_0xAC6_intro_0,,,見たな！　きさま！！,Serves you right!,,
,,,,"//==================================
// ??? altboss 0xAC9 dialogue?
//==================================",,,
,,,,"//=====
// player lose
//=====",,,
string,boss_0xAC9_lose_0,,,"ざまあ見ろ！\n
二度と来るなよ\n
ワハハハハ・・・","Serves you right!\n
And don't come back! Bwahahaha!",,
,,,,"//=====
// player win
//=====",,,
