"","","","","//==================================
// ??? altboss 0xABD dialogue?
//==================================","","","",""
"","","","","//=====
// intro
//=====","","","",""
"string","boss_0xABD_intro_0","","","[f7]<$75>よせ！俺、おまえと戦いたくないよ！","",,"=IF(F3=I3, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// ??? altboss 0xAC0 dialogue?
//==================================","","","",""
"","","","","//=====
// intro
//=====","","","",""
"string","boss_0xAC0_intro_0","","","勝負しようぜ！","",,"=IF(F6=I6, ""UNTRANSLATED"", """")",""
"","","","","//=====
// player lose
//=====","","","",""
"string","boss_0xAC0_lose_0","","","どうってことねえな\n
いつでも相手になってやるぜ\n
待ってるぜ","",,"=IF(F8=I8, ""UNTRANSLATED"", """")",""
"","","","","//=====
// player win
//=====","","","",""
"string","boss_0xAC0_win_0","","","うへぇまいったまいった\n
俺の師匠は塚原ト伝様だ\n
おまえもならうといいぜ","",,"=IF(F10=I10, ""UNTRANSLATED"", """")",""
"string","boss_0xAC0_win_2","","","さきに行って話しといてやる\n
気むずかし屋だがいい先生だ\n
じゃあな・・・","",,"=IF(F11=I11, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// ??? altboss 0xAC1 dialogue?
//==================================","","","",""
"","","","","//=====
// intro
//=====","","","",""
"string","boss_0xAC1_intro_0","","","ほほうガマ仙人の育てていたガキかい！\n
どんだけ強くなったか見てやろうぞい！","",,"=IF(F14=I14, ""UNTRANSLATED"", """")",""
"","","","","//=====
// player lose
//=====","","","",""
"string","boss_0xAC1_lose_0","","","まだ修行が足らんぞい！\n
出なおせ！\n
出なおせ！","",,"=IF(F16=I16, ""UNTRANSLATED"", """")",""
"","","","","//=====
// player win
//=====","","","",""
"string","boss_0xAC1_win_0","","","まいった、まいった\n
これだけ強ければ\n
毛の国でも修行ができるじゃろう","",,"=IF(F18=I18, ""UNTRANSLATED"", """")",""
"string","boss_0xAC1_win_2","","","行ってこい　小僧！！\n
ほれ　タヌキのワラジを履かせてやろう\n
これがあれば山あるきができるぞい！","",,"=IF(F19=I19, ""UNTRANSLATED"", """")",""
"string","boss_0xAC1_win_4","","","けんど山んなかにゃ\n
怪物がウヨウヨでるで\n
気いつけにゃいかんぞい","",,"=IF(F20=I20, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// ??? altboss 0xAC2 dialogue?
//==================================","","","",""
"","","","","//=====
// intro
//=====","","","",""
"string","boss_0xAC2_intro_0","","","カッパと戦ったと\n
ほほうムム・・もしや\n
お主ガマ仙人の弟子か","",,"=IF(F23=I23, ""UNTRANSLATED"", """")",""
"string","boss_0xAC2_intro_2","","","よし一手指南してやろう","",,"=IF(F24=I24, ""UNTRANSLATED"", """")",""
"","","","","//=====
// player lose
//=====","","","",""
"string","boss_0xAC2_lose_0","","","まだまだ修行が\n
足りないようだのお\n
出直してきなさい","",,"=IF(F26=I26, ""UNTRANSLATED"", """")",""
"","","","","//=====
// player win
//=====","","","",""
"string","boss_0xAC2_win_0","","","なかなかいい手スジじゃ！\n
鹿島新当流一の太刀を\n
さずけるぞ！","",,"=IF(F28=I28, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// ??? altboss 0xAC5 dialogue?
//==================================","","","",""
"","","","","//=====
// intro
//=====","","","",""
"string","boss_0xAC5_intro_0","","","佐竹のヤツラは許せん\n
おまえも佐竹の者か！\n
死ね！！","",,"=IF(F31=I31, ""UNTRANSLATED"", """")",""
"","","","","//=====
// player win
//=====","","","",""
"string","boss_0xAC5_win_0","","","ウッ！ワシは火の一族のマツエイじゃ\n
城に奪われた火の紋章を取り返えせず\n
辻斬りをしてウラミをはらしておった","",,"=IF(F33=I33, ""UNTRANSLATED"", """")",""
"string","boss_0xAC5_win_2","","","おヌシ、ガマ族の者らしいな\n
ガマもまた、火の一族の血を引く者\n
同じ火の一族のマツエイじゃ","",,"=IF(F34=I34, ""UNTRANSLATED"", """")",""
"string","boss_0xAC5_win_4","","","この紋章さえあれば\n
幻の火の術が使えるという\n
奪え！　火の紋章を奪ってくれい","",,"=IF(F35=I35, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// ??? altboss 0xAC6 dialogue?
//==================================","","","",""
"","","","","//=====
// intro
//=====","","","",""
"string","boss_0xAC6_intro_0","","","見たな！　きさま！！","",,"=IF(F38=I38, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// ??? altboss 0xAC9 dialogue?
//==================================","","","",""
"","","","","//=====
// player lose
//=====","","","",""
